id,label_true_k122,title,KMeans_artm_k37,KMeans_tfidf_k37,KMeans_w2v_k37,Birch_artm_k122,Birch_w2v_k38,Birch_tfidf_k268,AffinityPropagation_artm_k660,AffinityPropagation_tfidf_k1749,AffinityPropagation_w2v_k469,x,y,z
22893496,107,Интернет-маркетолог,7,28,12,68,5,5,630,1728,444,0.08325378884250695,0.01278087702454841,-0.03335401975015986
22949647,107,Ассистент менеджера по таргетированной рекламе,7,28,12,70,5,5,629,1748,444,0.05953695434605853,0.013510661996997493,-0.024664651677561277
20378466,107,Интернет-маркетолог/ Менеджер проекта,27,28,12,67,5,5,15,1728,444,0.1016681400211756,0.02690932510839381,-0.05154062683901122
23404979,107,Интернет маркетолог,7,28,12,70,5,5,652,1728,444,0.07962196557201837,0.009770433782853583,-0.029952639695265675
23636650,107,Аналитик,7,23,32,68,5,5,469,1703,382,0.07893018997159999,0.02220607405316733,-0.029694007586646122
27432611,107,SEO-специалист,27,14,32,69,10,5,628,1447,417,0.06113642518838973,0.023944920388303117,-0.025947873173981527
23861738,107,Маркетолог,17,23,32,18,0,1,196,1490,347,0.07920386289796547,0.022505641746086283,-0.024526998270769287
24093109,107,Менеджер по интернет-рекламе,7,28,12,70,5,5,629,1648,439,0.04639481315127033,0.009364741109329871,-0.021493188859684435
27657988,107,Маркетолог / PR-менеджер в диджитал- агентство,7,28,32,68,5,5,469,1471,382,0.09540495771159016,0.030400247930592806,-0.030218195545386947
20384314,107,Интернет-маркетолог (специалист по продвижению сайтов),7,28,32,70,5,5,516,1747,342,0.08207298613262826,0.023610882609402223,-0.03636666116378999
24973966,107,Интернет-маркетолог,7,28,12,70,5,5,629,1728,444,0.08514710204362366,0.029924842707003,-0.037061625596002755
25627857,107,Контент-редактор сайта,27,23,12,67,5,5,628,1697,10,0.05010962377799002,0.0075116583956790235,-0.02076304775421221
27657003,107,Интернет-маркетолог,17,23,32,68,0,5,469,1648,446,0.0738835394122359,0.02524532521245828,-0.02567963873391205
25322853,107,Копирайтер/Автор статей (банковские темы и МФО),17,14,32,69,5,1,633,1648,446,0.0466015566280085,0.013609705244949854,-0.018673822613024072
24004753,107,Контент-менеджер интернет-магазина,27,28,12,67,5,5,621,1698,10,0.08469243702915513,0.00696972168473687,-0.020731408755646163
27235049,107,SMM-менеджер,7,28,12,70,5,5,630,1648,10,0.04438104504454147,0.008141834416705462,-0.024867953874694527
24594182,107,SMM специалист (Помощник маркетолога),7,23,3,68,3,5,590,1556,347,0.05419003259547899,0.012070602784580135,-0.012881766916729293
22156491,107,Контент-менеджер,27,28,12,67,5,5,56,1698,10,0.11821748944786335,0.01175513493460658,-0.04510655127559526
24084070,107,Интернет-маркетолог,7,28,32,68,5,5,469,1747,347,0.09008546217615016,0.025185464200329934,-0.03207695603089609
23586257,107,СММ маркетолог,7,28,32,70,0,5,590,1649,347,0.0650185572176714,0.023756836757700257,-0.029136221408644802
24648172,107,Интернет-маркетолог,7,28,12,70,5,5,516,1728,372,0.09915996544437208,0.015355916519694392,-0.035617665968035506
20374557,107,Интернет-маркетолог,7,28,12,70,5,5,515,1748,372,0.07136688335269191,0.010651449502948832,-0.025893777315041642
